Temperature (°C),Pressure (MPa),Specific volume vf (m³/kg),Specific volume vg (m³/kg),Internal energy uf (kJ/kg),Internal energy ug (kJ/kg),Enthalpy hf (kJ/kg),Enthalpy hg (kJ/kg),Entropy sf (kJ/kg·K),Entropy sg (kJ/kg·K)
Tsat,P,vf,vg,uf,ug,hf,hg,sf,sg
-24,0.11160,0.0007296,0.1728,19.21,213.57,19.29,232.85,0.0798,0.9370
-22,0.12192,0.0007328,0.1590,21.68,214.70,21.77,234.08,0.0897,0.9351
-20,0.13299,0.0007361,0.1464,24.17,215.84,24.26,235.31,0.0996,0.9332
-18,0.14483,0.0007395,0.1350,26.67,216.97,26.77,236.53,0.1094,0.9315
-16,0.15748,0.0007428,0.1247,29.18,218.10,29.30,237.74,0.1192,0.9298
-12,0.18540,0.0007498,0.1068,34.25,220.36,34.39,240.15,0.1388,0.9267
-8,0.21704,0.0007569,0.0919,39.38,222.60,39.54,242.54,0.1583,0.9239
-4,0.25274,0.0007644,0.0794,44.56,224.84,44.75,244.90,0.1777,0.9213
0,0.29282,0.0007721,0.0689,49.79,227.06,50.02,247.23,0.1970,0.9190
4,0.33765,0.0007801,0.0600,55.08,229.27,55.35,249.53,0.2162,0.9169
8,0.38756,0.0007884,0.0525,60.43,231.46,60.73,251.80,0.2354,0.9150
12,0.44294,0.0007971,0.0460,65.83,233.63,66.18,254.03,0.2545,0.9132
16,0.50416,0.0008062,0.0405,71.29,235.78,71.69,256.22,0.2735,0.9116
20,0.57160,0.0008157,0.0358,76.80,237.91,77.26,258.35,0.2924,0.9102
24,0.64566,0.0008257,0.0317,82.37,240.01,82.90,260.45,0.3113,0.9089
26,0.68530,0.0008309,0.0298,85.18,241.05,85.75,261.48,0.3208,0.9082
28,0.72675,0.0008362,0.0281,88.00,242.08,88.61,262.50,0.3302,0.9076
30,0.77006,0.0008417,0.0265,90.84,243.10,91.49,263.50,0.3396,0.9070
32,0.81528,0.0008473,0.0250,93.70,244.12,94.39,264.48,0.3490,0.9064
34,0.86247,0.0008530,0.0236,96.58,245.12,97.31,265.45,0.3584,0.9058
36,0.91168,0.0008590,0.0223,99.47,246.11,100.25,266.40,0.3678,0.9053
38,0.96298,0.0008651,0.0210,102.38,247.09,103.21,267.33,0.3772,0.9047
40,1.0164,0.0008714,0.0199,105.30,248.06,106.19,268.24,0.3866,0.9041
42,1.0720,0.0008780,0.0188,108.25,249.02,109.19,269.14,0.3960,0.9035
44,1.1299,0.0008847,0.0177,111.22,249.96,112.22,270.01,0.4054,0.9030
48,1.2526,0.0008989,0.0159,117.22,251.79,118.35,271.68,0.4243,0.9017
52,1.3851,0.0009142,0.0142,123.31,253.55,124.58,273.24,0.4432,0.9004
56,1.5278,0.0009308,0.0127,129.51,255.23,130.93,274.68,0.4622,0.8990
60,1.6813,0.0009488,0.0114,135.82,256.81,137.42,275.99,0.4814,0.8973
70,2.1162,0.0010027,0.0086,152.22,260.15,154.34,278.43,0.5302,0.8918
80,2.6324,0.0010766,0.0064,169.88,262.14,172.71,279.12,0.5814,0.8827
90,3.2435,0.0011949,0.0046,189.82,261.34,193.69,276.32,0.6380,0.8655
100,3.9742,0.0015443,0.0027,218.60,248.49,224.74,259.13,0.7196,0.8117
